N;Уровень(см);Объем(м3)
816;816;694.567
817;817;695.422
818;818;696.277
819;819;697.132
820;820;697.987
821;821;698.841
822;822;699.696
823;823;700.551
824;824;701.406
825;825;702.262
826;826;703.116
827;827;703.971
828;828;704.827
829;829;705.682
830;830;706.537
831;831;707.392
832;832;708.247
833;833;709.102
834;834;709.957
835;835;710.812
836;836;711.667
837;837;712.522
838;838;713.377
839;839;714.232
840;840;715.087
841;841;715.942
842;842;716.797
843;843;717.652
844;844;718.508
845;845;719.363
846;846;720.217
847;847;721.073
848;848;721.928
849;849;722.783
850;850;723.638
851;851;724.494
852;852;725.349
853;853;726.203
854;854;727.059
855;855;727.914
856;856;728.769
857;857;729.624
858;858;730.479
859;859;731.334
860;860;732.19
861;861;733.045
862;862;733.899
863;863;734.754
864;864;735.609
865;865;736.464
866;866;737.319
867;867;738.174
868;868;739.029
869;869;739.884
870;870;740.738
871;871;741.593
872;872;742.448
873;873;743.302
874;874;744.156
875;875;745.01
876;876;745.865
877;877;746.718
878;878;747.572
879;879;748.426
880;880;749.28
881;881;750.134
882;882;750.988
883;883;751.842
884;884;752.696
885;885;753.549
886;886;754.403
887;887;755.257
888;888;756.111
889;889;756.965
890;890;757.819
891;891;758.673
892;892;759.526
893;893;760.38
894;894;761.234
895;895;762.087
896;896;762.941
897;897;763.795
898;898;764.649
899;899;765.502
900;900;766.356
901;901;767.21
902;902;768.064
903;903;768.917
904;904;769.771
905;905;770.625
906;906;771.479
907;907;772.332
908;908;773.186
909;909;774.041
910;910;774.894
911;911;775.748
912;912;776.601
913;913;777.454
914;914;778.307
915;915;779.16
916;916;780.014
917;917;780.868
918;918;781.723
919;919;782.577
920;920;783.431
921;921;784.285
922;922;785.139
923;923;785.992
924;924;786.847
925;925;787.701
926;926;788.555
927;927;789.41
928;928;790.265
929;929;791.119
930;930;791.975
931;931;792.829
932;932;793.684
933;933;794.538
934;934;795.393
935;935;796.248
936;936;797.102
937;937;797.957
938;938;798.811
939;939;799.666
940;940;800.52
941;941;801.375
942;942;802.23
943;943;803.085
944;944;803.939
945;945;804.794
946;946;805.649
947;947;806.504
948;948;807.359
949;949;808.214
950;950;809.068
951;951;809.923
952;952;810.778
953;953;811.633
954;954;812.488
955;955;813.343
956;956;814.198
957;957;815.053
958;958;815.908
959;959;816.764
960;960;817.619
961;961;818.473
962;962;819.328
963;963;820.183
964;964;821.037
965;965;821.892
966;966;822.747
967;967;823.602
968;968;824.457
969;969;825.311
970;970;826.166
971;971;827.022
972;972;827.876
973;973;828.731
974;974;829.586
975;975;830.44
976;976;831.295
977;977;832.15
978;978;833.005
979;979;833.859
980;980;834.714
981;981;835.569
982;982;836.424
983;983;837.279
984;984;838.134
985;985;838.989
986;986;839.844
987;987;840.698
988;988;841.552
989;989;842.407
990;990;843.261
991;991;844.116
992;992;844.971
993;993;845.826
994;994;846.68
995;995;847.534
996;996;848.389
997;997;849.243
998;998;850.098
999;999;850.952
1000;1000;851.806
1001;1001;852.66
1002;1002;853.514
1003;1003;854.369
1004;1004;855.224
1005;1005;856.077
1006;1006;856.931
1007;1007;857.786
1008;1008;858.64
1009;1009;859.494
1010;1010;860.348
1011;1011;861.202
1012;1012;862.057
1013;1013;862.911
1014;1014;863.765
1015;1015;864.619
1016;1016;865.473
1017;1017;866.327
1018;1018;867.181
1019;1019;868.035
1020;1020;868.889
1021;1021;869.744
1022;1022;870.597
1023;1023;871.451
1024;1024;872.305
1025;1025;873.159
1026;1026;874.013
1027;1027;874.866
1028;1028;875.72
1029;1029;876.574
1030;1030;877.428
1031;1031;878.282
1032;1032;879.136
1033;1033;879.989
1034;1034;880.843
1035;1035;881.697
1036;1036;882.551
1037;1037;883.405
1038;1038;884.258
1039;1039;885.111
1040;1040;885.964
1041;1041;886.817
1042;1042;887.671
1043;1043;888.524
1044;1044;889.377
1045;1045;890.23
1046;1046;891.084
1047;1047;891.937
1048;1048;892.789
1049;1049;893.642
1050;1050;894.495
1051;1051;895.349
1052;1052;896.203
1053;1053;897.057
1054;1054;897.91
1055;1055;898.763
1056;1056;899.616
1057;1057;900.47
1058;1058;901.324
1059;1059;902.178
1060;1060;903.032
1061;1061;903.886
1062;1062;904.74
1063;1063;905.594
1064;1064;906.447
1065;1065;907.301
1066;1066;908.155
1067;1067;909.009
1068;1068;909.863
1069;1069;910.716
1070;1070;911.57
1071;1071;912.424
1072;1072;913.278
1073;1073;914.132
1074;1074;914.986
1075;1075;915.839
1076;1076;916.693
1077;1077;917.547
1078;1078;918.4
1079;1079;919.254
1080;1080;920.107
1081;1081;920.96
1082;1082;921.814
1083;1083;922.668
1084;1084;923.522
1085;1085;924.376
1086;1086;925.23
1087;1087;926.084
1088;1088;926.937
1089;1089;927.791
1090;1090;928.645
1091;1091;929.5
1092;1092;930.354
1093;1093;931.207
1094;1094;932.061
1095;1095;932.916
1096;1096;933.77
1097;1097;934.625
1098;1098;935.479
1099;1099;936.332
1100;1100;937.186
1101;1101;938.039
1102;1102;938.894
1103;1103;939.749
1104;1104;940.604
1105;1105;941.458
1106;1106;942.313
1107;1107;943.166
1108;1108;944.019
1109;1109;944.873
1110;1110;945.728
1111;1111;946.582
1112;1112;947.435
1113;1113;948.29
1114;1114;949.144
1115;1115;949.998
1116;1116;950.853
1117;1117;951.707
1118;1118;952.561
1119;1119;953.415
1120;1120;954.27
1121;1121;955.124
1122;1122;955.978
1123;1123;956.833
1124;1124;957.687
1125;1125;958.542
1126;1126;959.396
1127;1127;960.251
1128;1128;961.105
1129;1129;961.959
1130;1130;962.814
1131;1131;963.669
1132;1132;964.523
1133;1133;965.377
1134;1134;966.232
1135;1135;967.087
1136;1136;967.941
1137;1137;968.796
1138;1138;969.651
1139;1139;970.505
1140;1140;971.36
1141;1141;972.214
1142;1142;973.068
1143;1143;973.924
1144;1144;974.779
1145;1145;975.634
1146;1146;976.488
1147;1147;977.342
1148;1148;978.197
1149;1149;979.052
1150;1150;979.907
1151;1151;980.762
1152;1152;981.617
1153;1153;982.472
1154;1154;983.327
1155;1155;984.181
1156;1156;985.036
1157;1157;985.891
1158;1158;986.746
1159;1159;987.6
1160;1160;988.455
1161;1161;989.31
1162;1162;990.165
1163;1163;991.02
1164;1164;991.874
1165;1165;992.729
1166;1166;993.583
1167;1167;994.437
1168;1168;995.291
1169;1169;996.145
1170;1170;997
1171;1171;997.854
1172;1172;998.708
1173;1173;999.562
1174;1174;1000.415
1175;1175;1001.269
1176;1176;1002.123
1177;1177;1002.977
1178;1178;1003.831
1179;1179;1004.685
1180;1180;1005.538
1181;1181;1006.392
1182;1182;1007.246
1183;1183;1008.1
1184;1184;1008.954
1185;1185;1009.807
1186;1186;1010.661
1187;1187;1011.515
